read
ID,source,tweetId,label,instance,start,end,tweetText,notes
301,lightTag,'382839945104093184',item affected,people,38,44,250+ souls died in the earthquake and people jumping for miraculous island... Sad and funny at the same time. #earthquake,
302,lightTag,'384882915642855424',place name,"Daly City, CA, United States",37,65,"2.3 magnitude #earthquake. 4 mi from Daly City, CA, United States.http://t.co/gnNfMDmkXs",
303,lightTag,'384882915642855424',location modifier,4 mi from,27,36,"2.3 magnitude #earthquake. 4 mi from Daly City, CA, United States.http://t.co/gnNfMDmkXs",
304,lightTag,'451230592378494976',place name,Chile,53,58,"RT @loockito: Terremoto de 8,2 grados en el norte de Chile deja hasta el momento 5 muertos #TerremotoenChile #PrayForChile #FuerzaChile",
305,lightTag,'591930922426994689',item affected,toll,64,68,@timesofindia  Really pathetic. Still we dont know how much the toll will rise. #NepalEarthquake.,
306,lightTag,'591930922426994689',place name,Nepal,81,86,@timesofindia  Really pathetic. Still we dont know how much the toll will rise. #NepalEarthquake.,
307,lightTag,'591930922426994689',type of impact,rise,74,78,@timesofindia  Really pathetic. Still we dont know how much the toll will rise. #NepalEarthquake.,
308,lightTag,'504293476390170625',place name,California,3,13,N. California Cleaning Up After Strongest Quake in 25 Years http://t.co/8kSx3px8Lx,
309,lightTag,'503905880468123648',place name,California,100,110,RT @nicoleewayne: ?? USA http://t.co/NDXAWgcGx8 985 Earthquake Strong Earthquake Shakes Bay Area in California nicoleewayne Virginia USA New�??,
310,lightTag,'503905880468123648',location modifier,in,97,99,RT @nicoleewayne: ?? USA http://t.co/NDXAWgcGx8 985 Earthquake Strong Earthquake Shakes Bay Area in California nicoleewayne Virginia USA New�??,
311,lightTag,'503905880468123648',place name,Bay Area,88,96,RT @nicoleewayne: ?? USA http://t.co/NDXAWgcGx8 985 Earthquake Strong Earthquake Shakes Bay Area in California nicoleewayne Virginia USA New�??,
312,lightTag,'504013896848404480',location modifier,in,89,91,US #Companies #US_News #earthquake #Napa Earthquake Spills Napa Valley Wines: Winemakers in California�??s renowned... http://t.co/hhVhC2cfdq,
313,lightTag,'504013896848404480',place name,California,92,102,US #Companies #US_News #earthquake #Napa Earthquake Spills Napa Valley Wines: Winemakers in California�??s renowned... http://t.co/hhVhC2cfdq,
314,lightTag,'504013896848404480',place name,Napa Valley,59,70,US #Companies #US_News #earthquake #Napa Earthquake Spills Napa Valley Wines: Winemakers in California�??s renowned... http://t.co/hhVhC2cfdq,
315,lightTag,'504013896848404480',item affected,Wines,71,76,US #Companies #US_News #earthquake #Napa Earthquake Spills Napa Valley Wines: Winemakers in California�??s renowned... http://t.co/hhVhC2cfdq,
316,lightTag,'504013896848404480',place name,Napa,36,40,US #Companies #US_News #earthquake #Napa Earthquake Spills Napa Valley Wines: Winemakers in California�??s renowned... http://t.co/hhVhC2cfdq,
317,lightTag,'592699303514251264',place name,Nepal,30,35,RT @livemint: Explained: The #Nepal earthquake and why more can be expected in the future http://t.co/UakKgEg4UO http://t.co/DhzuaZ6vVS,
318,lightTag,'451502559140671488',location modifier,in,11,13,"Are quakes in Chile, California related? - The powerful 8.2-magnitude earthquake that struck northern Chile on... http://t.co/eZRcEg2WBO",
319,lightTag,'451502559140671488',place name,Chile,102,107,"Are quakes in Chile, California related? - The powerful 8.2-magnitude earthquake that struck northern Chile on... http://t.co/eZRcEg2WBO",
320,lightTag,'451502559140671488',place name,California,21,31,"Are quakes in Chile, California related? - The powerful 8.2-magnitude earthquake that struck northern Chile on... http://t.co/eZRcEg2WBO",
