place name,type of impact,impact place relation,modifier place relation,severity impact relation,item impact relation,tweet text,impact category,geometry
Pakistan,Killed,Pakistan killed,in Pakistan,250 killed,people killed,Saddened by powerful 7.7 magn.earthquake that killed 250 people in #Pakistan. Condolences for victims&amp;families and hope for a quick recovery,Death,POINT (70 30)
Balochistan,Killed,Balochistan killed,in Balochistan,230 killed,,RT @Zarina_Baloch: More than 230 killed in major earthquake in #Balochistan http://t.co/F4OHHYWyH4 via @reuters,Death,POINT (65.64355 28.47849)
Pakistan,Injured,Pakistan injured,in Pakistan,400 injured,,RT @ShakingEarth: Massive #earthquake in #Pakistan - At least 283 #killed and 400 #injured - many #updates + many #video's  - http://t.co/S…,Injury,POINT (70 30)
Pakistan,Killed,Pakistan killed,in Pakistan,At least 283 killed,,RT @ShakingEarth: Massive #earthquake in #Pakistan - At least 283 #killed and 400 #injured - many #updates + many #video's  - http://t.co/S…,Death,POINT (70 30)
Pakistan,Death,Pakistan Death,,285 Death,,20 more bodies recovered from a seminary in Balochistan's quake affected area. Death Toll now stands at 285 in total. #Pakistan,Death,POINT (70 30)
Pakistan,Created,Pakistan Created,,,,Pakistan's Earthquake Was So Powerful It Created a New Island http://t.co/p3esyB28pj #earthquake,Other,POINT (70 30)
Pakistan,Fatalities,Pakistan fatalities,in Pakistan,,,RT @CDACN: MT:@GSMAm4d Yests 7.7m #earthquake in #Pakistan causes fatalities &disrupts mobile nworks & #communication.http://t.co/W5xrBuP1M…,Other,POINT (70 30)
Pakistan,Disrupts,Pakistan disrupts,in Pakistan,,mobile nworks disrupts,RT @CDACN: MT:@GSMAm4d Yests 7.7m #earthquake in #Pakistan causes fatalities &disrupts mobile nworks & #communication.http://t.co/W5xrBuP1M…,Other,POINT (70 30)
Arabian Sea,Created,Arabian Sea created,in the Arabian Sea,,,#Pakistan The quake also created a small island in the Arabian Sea. Experts visited the island and found methane gas rising.RE,Other,POINT (64.33594 12.21118)
small island,Created,small island created,,,,#Pakistan The quake also created a small island in the Arabian Sea. Experts visited the island and found methane gas rising.RE,Other,POINT (-45.592 -60.702)
Pakistan,Unlikely To Last,Pakistan unlikely to last,,,,RT @khaleejtimes: Pakistan quake island unlikely to last: Experts - http://t.co/dWgEVnhHIh #Dubai #Pakistan #World,Other,POINT (70 30)
Pakistan,Death,Pakistan Death,,327 Death,people Death,Death toll from #Pakistan #Earthquake reaches 327 people - officials http://t.co/dW9F9ZxMqm via @VoiceofRussia #Pakistan,Death,POINT (70 30)
Pakistan,Death,Pakistan Death,in Pakistan,210 Death,,Death toll in #Pakistan earthquake reaches 210,Death,POINT (70 30)
Pakistan,Dead,Pakistan dead,,Hundreds dead,,#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.,Death,POINT (70 30)
