read
ID,source,tweetId,label,instance,start,end,tweetText,notes
101,lightTag,'383112728736317440',place name,"Cobb, California",43,59,"USGS reports a M0.9 #earthquake 5km WNW of Cobb, California on 9/26/13 @ 6:14:06 UTC http://t.co/bya5jJQtCU #quake",
102,lightTag,'383112728736317440',location modifier,5km WNW of,32,42,"USGS reports a M0.9 #earthquake 5km WNW of Cobb, California on 9/26/13 @ 6:14:06 UTC http://t.co/bya5jJQtCU #quake",
103,lightTag,'455016780327424001',type of impact,dead,5,9,Five dead as earthquake hits Chile http://t.co/lPw5kqPo96,
104,lightTag,'455016780327424001',place name,Chile,29,34,Five dead as earthquake hits Chile http://t.co/lPw5kqPo96,
105,lightTag,'455016780327424001',severity or quantity,Five,0,4,Five dead as earthquake hits Chile http://t.co/lPw5kqPo96,
106,lightTag,'504606059894685696',place name,California,41,51,Napa Valley quake won�??t spike price of California wine. http://t.co/ZjRW6WJP93,
107,lightTag,'504606059894685696',place name,Napa,0,4,Napa Valley quake won�??t spike price of California wine. http://t.co/ZjRW6WJP93,
108,lightTag,'382863063818317824',severity or quantity,At least 328,15,27,"@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv",
109,lightTag,'382863063818317824',location modifier,in,82,84,"@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv",
110,lightTag,'382863063818317824',place name,Pakistan,85,93,"@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv",
111,lightTag,'382863063818317824',severity or quantity,hundreds more,95,108,"@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv",
112,lightTag,'382863063818317824',type of impact,died,53,57,"@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv",
113,lightTag,'382863063818317824',item affected,people,28,34,"@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv",
