place name,tweet text
Pakistan,Saddened by powerful 7.7 magn.earthquake that killed 250 people in #Pakistan. Condolences for victims&amp;families and hope for a quick recovery
Balochistan,RT @Zarina_Baloch: More than 230 killed in major earthquake in #Balochistan http://t.co/F4OHHYWyH4 via @reuters
Pakistan,RT @ShakingEarth: Massive #earthquake in #Pakistan - At least 283 #killed and 400 #injured - many #updates + many #video's  - http://t.co/S…
Pakistan,RT @ShakingEarth: Massive #earthquake in #Pakistan - At least 283 #killed and 400 #injured - many #updates + many #video's  - http://t.co/S…
Pakistan,20 more bodies recovered from a seminary in Balochistan's quake affected area. Death Toll now stands at 285 in total. #Pakistan
Pakistan,Pakistan's Earthquake Was So Powerful It Created a New Island http://t.co/p3esyB28pj #earthquake
Pakistan,RT @CDACN: MT:@GSMAm4d Yests 7.7m #earthquake in #Pakistan causes fatalities &disrupts mobile nworks & #communication.http://t.co/W5xrBuP1M…
Pakistan,RT @CDACN: MT:@GSMAm4d Yests 7.7m #earthquake in #Pakistan causes fatalities &disrupts mobile nworks & #communication.http://t.co/W5xrBuP1M…
Arabian Sea,#Pakistan The quake also created a small island in the Arabian Sea. Experts visited the island and found methane gas rising.RE
small island,#Pakistan The quake also created a small island in the Arabian Sea. Experts visited the island and found methane gas rising.RE
Pakistan,RT @khaleejtimes: Pakistan quake island unlikely to last: Experts - http://t.co/dWgEVnhHIh #Dubai #Pakistan #World
Pakistan,Death toll from #Pakistan #Earthquake reaches 327 people - officials http://t.co/dW9F9ZxMqm via @VoiceofRussia #Pakistan
Pakistan,Death toll in #Pakistan earthquake reaches 210
Pakistan,#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
Balochistan,#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.
Kohlu,RT @CNBCPAKISTAN: #Breaking: 14 seminary student including Imam found dead under rubble of collapsed Madarsah in Kohlu #Balochistan #Earthqâ€¦
Kohlu,RT @CNBCPAKISTAN: #Breaking: 14 seminary student including Imam found dead under rubble of collapsed Madarsah in Kohlu #Balochistan #Earthqâ€¦
Balochistan Province,RT@UNOCHA #Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v @UN
Balochistan Province,RT@UNOCHA #Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v @UN
Pakistan,Reuters: Death toll from #Pakistan quake reaches 327 - officials
Pakistan,182 ? Death toll ? I thought182 blink RT @FoxNews: Death toll in #Pakistan earthquake rises to 182 http://t.co/tSI7wKGSVZ
Awaran,"RT @Chawash_Baloch: 45,000 houses destroyed in Awaran and Kech #earthquake,more than 300 deadbodies recovered from rubles,victims need imme…"
Kech,"RT @Chawash_Baloch: 45,000 houses destroyed in Awaran and Kech #earthquake,more than 300 deadbodies recovered from rubles,victims need imme…"
Peshawar,"Natural disaster or man made disaster, end result is dead Pakistani, May God have mercy on us all #Awaran #Balochistan #PeshawarChurchBlast"
Balochistan,"Natural disaster or man made disaster, end result is dead Pakistani, May God have mercy on us all #Awaran #Balochistan #PeshawarChurchBlast"
Balochistan,RT @geonews_english: Death toll rises to 285 in #Balochistan #earthquake http://t.co/ZszK6xbter
Balochistan,"#QUETTA: At least 421 people have been killed, 21 thousand houses affected due to #earthquake in Balochistan, Chairman NDMA says."
Pakistan,#Pakistan Pakistan earthquake: Hundreds dead in Balochistan | BBC - http://t.co/VAVCRQDrHW
Balochistan,#Pakistan Pakistan earthquake: Hundreds dead in Balochistan | BBC - http://t.co/VAVCRQDrHW
Pakistan's coast,"RT @earthskyscience: New island off Pakistan's coast,... http://t.co/ueRxtmpdZ4 #Pakistan #Gwadar #Balochistan #Earthquake via @shawncable"
Pakistan,@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged
Pakistan,"*@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv*"
Pakistan,"*@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv*"
Gwadar,"A new Island emerged after #earthquake in #Gwadar,its called �??Zalzala Koh'' by the locals,Lets hope the gvt stays awy http://t.co/ibKLYcBsM9"
Pakistan,RT @RT_com: BREAKING UPDATE: Death toll from #Pakistan earthquake rises to over 230 http://t.co/fmytyHEJf4
Pakistan,RT @NoorulainK: Death toll continues to rise. Pakistani government confirms at least 327 people killed by 7.7-magnitude #earthquake in #Pakâ€¦
Balochistan,RT @marvisirmed: Over 265 people lose their lives #EarthQuake #Balochistan since yesterday afternoon. There are still many areas where no r…
pakistan,#pakistan #quake kills 39 and creates island - http://t.co/6PKacTEImh
New Island,RT @Starseed52: #Sep24 New Island Rises Out of the Sea During 7.8 Earthquake in Pakistan http://t.co/XHXeSdEcd7 #Pakistan #quake #island
Pakistan,This is horrible - #Pakistan earthquake: Hundreds dead in Balochistan http://t.co/88HHJKM1uu
Balochistan,This is horrible - #Pakistan earthquake: Hundreds dead in Balochistan http://t.co/88HHJKM1uu
Pakistan,"RT @CBCAlerts: Number of dead in 7.7-magnitude #Pakistan earthquake jumps to 327, according to local officials.  Strong aftershocks continu…"
Pakistan,meanwhile in Pakistan the death toll rises to 330. #Earthquake
Balochistan,"RT @Rabail26: More than 328 dead, 400 injured because of 7.8 magnitude #earthquake in 6 districts of #Balochistan. http://t.co/j6yqKL9c2l #…"
Balochistan,"RT @Rabail26: More than 328 dead, 400 injured because of 7.8 magnitude #earthquake in 6 districts of #Balochistan. http://t.co/j6yqKL9c2l #…"
Balochistan,RT @ajmaljami: death toll rises to 271 in #Balochistan #earthquake. tremors left 446 injured.  Chairman NDMA - #dunyatv
Balochistan,RT @ajmaljami: death toll rises to 271 in #Balochistan #earthquake. tremors left 446 injured.  Chairman NDMA - #dunyatv
Balochistan,UK PM left everything when just one soldier died. Here a 1000 are feared dead and our PM is no where to be seen! #Balochistan #earthquake
Balochistan,UK PM left everything when just one soldier died. Here a 1000 are feared dead and our PM is no where to be seen! #Balochistan #earthquake
Balochistan,When 400 dead people get less coverage than a new island. #Balochistan  #moralities
island,7.7 on the riktor scale ðŸ˜”ðŸ˜” Earthquake powerful enough to create a knew island wow! Allah hu Akbar #Pakistan
Pakistan,#Pakistan struggles to help quake victims; 285 dead     http://t.co/cAFA5Czs1J
Pakistan,At least 327 people have been killed in #Pakistan's 7.7 magnitude earthquake. http://t.co/nLvaRxonuk
Baluchistan,Over 330 peoples are killed in #Earthquake in #Baluchistan. Many are still missing. #Pakistan
Pakistan,RT @NewsBreaker: BREAKING: Death toll in #Pakistan earthquake jumps to 328: officials - @AFP
Kenya,RT @MsIntervention: Week of Islamic terrorism: #Kenya: 130+ killed; #Nigeria: 142+; #Pakistan 82; #Iraq; 100+; #Afghanistan: 40+. It's real…
Pakistan,#Pakistan quake death toll rises to over 300 #UFO4UBlogAsia http://t.co/blHMdM41V8
Pakistan,Death toll in #Pakistan earthquake rises to at least 328. http://t.co/b6DQq8iYKI
Pakistan,RT @FoxNews: Death toll in #Pakistan earthquake rises to 182 http://t.co/BCVKARh4LT
Nevada,"??�#USGS #alert??? M 1.8, Nevada: September 25, 2013 21:20:43 GMT http://t.co/tgZdmiwWQH #earthquake #tsunami #prayfromjapan"
Awaran,"RT @AnasMallick: 90% of houses in Awaran, Balochistan have been totally destroyed due to the #EarthQuake."
Balochistan,"RT @AnasMallick: 90% of houses in Awaran, Balochistan have been totally destroyed due to the #EarthQuake."
Balochistan,RT @DrAwab: 250+ people have been killed in #Balochistan didn't we have a Chief Minister there? Missing? Abducted? Or has he gone island hoâ€¦
Pakistan,RT @RT_com: UPDATE: Devastating #Pakistan quake kills 370 http://t.co/fmytyHEJf4
Pakistan,RT @abc13houston: UPDATE: Massive quake in southwest #Pakistan kills 210 http://t.co/zifus0VpNU #abc13
Pakistan,WATCH: 300 confirmed dead after a powerful earthquake hit southern #Pakistan. http://t.co/tZtmGaL75V #9MorningNews
Balochistan,"RT @bbcworldservice: #Pakistan military and relief groups still trying to reach all areas hit by #quake in #Balochistan. 330 dead, expectedâ€¦"
Pakistan,Death Toll Rises to 327 in Pakistan Quake - Voice of America | http://t.co/jfPqGrnPwg | #Pakistan
Awaran,"RT @SaimaMohsin: No emergency or surgical medical facilities in #Awaran - seriously injured have to be airlifted out. 264 dead, more than 4…"
Awaran,"RT @SaimaMohsin: No emergency or surgical medical facilities in #Awaran - seriously injured have to be airlifted out. 264 dead, more than 4…"
Pakistan,Unfortunately more than 200 killed in massive #Pakistan #Earthquake
Balochistan,RT @NazBalochPTI: Balochistan tragic #earthquake kiling more thn 300 ppl. PTI Balochistan team &amp; volunteers will visit these areas for recoâ€¦
Balochistan,"348 dead, 500 injured and rising. You are in my prayers #Balochistan #earthquake"
Balochistan,"348 dead, 500 injured and rising. You are in my prayers #Balochistan #earthquake"
Dandar,At least 500 people have been killed by a powerful earthquake in #Awaran #khuzdar #Turbat #Dandar #Mashky #geshkoor #Pasni.
Turbat,At least 500 people have been killed by a powerful earthquake in #Awaran #khuzdar #Turbat #Dandar #Mashky #geshkoor #Pasni.
Awaran,At least 500 people have been killed by a powerful earthquake in #Awaran #khuzdar #Turbat #Dandar #Mashky #geshkoor #Pasni.
khuzdar,At least 500 people have been killed by a powerful earthquake in #Awaran #khuzdar #Turbat #Dandar #Mashky #geshkoor #Pasni.
Pakistan,"Earthquakes in #Pakistan timeline http://t.co/Y20lGxf9Pi Worst earthquake in 2005. 80,000 dead, 200,000 injured, 4 million ppl left homeless"
Pakistan,"Earthquakes in #Pakistan timeline http://t.co/Y20lGxf9Pi Worst earthquake in 2005. 80,000 dead, 200,000 injured, 4 million ppl left homeless"
Pakistan,"Earthquakes in #Pakistan timeline http://t.co/Y20lGxf9Pi Worst earthquake in 2005. 80,000 dead, 200,000 injured, 4 million ppl left homeless"
Pakistan,"RT @bbcworldservice: #Pakistan mud homes totally collapsed, medical teams still unable to reach far-flung areas hit by #Balochistan #quake â€¦"
Pakistan,RT @dawn_com: Massive #earthquake hits #Balochistan: death toll rises to 328 | Latest-News http://t.co/zabXDEzhiH #Pakistan #Awaran #Gwadar
Balochistan,RT @dawn_com: Massive #earthquake hits #Balochistan: death toll rises to 328 | Latest-News http://t.co/zabXDEzhiH #Pakistan #Awaran #Gwadar
Kashmir,Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
Kashmir,Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S
Pakistan,Pakistan earthquake death toll rises to 350 http://t.co/S4cvjThzSc #Pakistan
Pakistan,#Pakistan #News Balochistan quake death toll nears 350 http://t.co/JgzWdvmii3
Balochistan,#Pakistan #News Balochistan quake death toll nears 350 http://t.co/JgzWdvmii3
Balochistan,Death toll of Balochistan earthquake hits 350 with more casualties feared #Pakistan http://t.co/JYxR9O1f7V �??
Pakistan,Death toll of Balochistan earthquake hits 350 with more casualties feared #Pakistan http://t.co/JYxR9O1f7V �??
Pakistan,RT @AccessAid: The death toll in #Pakistan now passed 300 &amp; over 500 people confirmed injured. Government &amp; non-government #aid workers conâ€¦
Pakistan,RT @AccessAid: The death toll in #Pakistan now passed 300 &amp; over 500 people confirmed injured. Government &amp; non-government #aid workers conâ€¦
Pakistan,Toll in Quake in #Pakistan Rises Past 300 http://t.co/pnGpwrxdbg #Earthquake
Balochistan,RT @nk_achakzai: #Balochistan quake death toll nears 400 http://t.co/3q3fLvtNy5 �?? #Pakistan . Prayers are good but they want food &amp; Shelter�??
Pakistan,RT @nk_achakzai: #Balochistan quake death toll nears 400 http://t.co/3q3fLvtNy5 �?? #Pakistan . Prayers are good but they want food &amp; Shelter�??
Awaran,Death toll in #Balochistan #earthquake jumps to 531 #Awaran #Pakistan #Dunyatv
Balochistan,Death toll in #Balochistan #earthquake jumps to 531 #Awaran #Pakistan #Dunyatv
Pakistan,Death toll in #Balochistan #earthquake jumps to 531 #Awaran #Pakistan #Dunyatv
Pakistan,Hundreds dead in #Pakistan earthquake http://t.co/oEc5tjN3ul
Pakistan,~ BBC News - #Pakistan quake island off #Gwadar 'emits flammable gas' http://t.co/tns3BfTCT2 #paperli
Gwadar,~ BBC News - #Pakistan quake island off #Gwadar 'emits flammable gas' http://t.co/tns3BfTCT2 #paperli
Balochistan,#Pakistan #Islamabad #Death toll in #Balochistan #earthquake jumps to 531
Sea View,"RT @CNBCPAKISTAN: Details: 13 Yr Old Girl Found Dead At Sea View :: CNBC #Pakistan :: http://t.co/Mwgnvvx088 #Karachi, #Crime #News"
Pakistan,Very sad @ShababLibya  Over 320 people killed in #Pakistan #earthquake.  Thoughts and prayers with the families who lost loved ones. RIP RT
Balochistan,"RT @dunyanetwork: Death toll in #Balochistan quake can further rise as some areas are still inaccessible, says Interior Minister #PMLN #ear…"
Balochistan,RT @mmatalpur: #UNO help refused by #Pakistan. They always #Refuse. They care not. Death toll rises to 350 in quake-hit Balochistan http://�??
Pakistan,RT @mmatalpur: #UNO help refused by #Pakistan. They always #Refuse. They care not. Death toll rises to 350 in quake-hit Balochistan http://�??
Pak,Pak earthquake death toll is 355 so far. God's wrath or nature's fury ? #Pakistan #earthquake
Pak,Pak earthquake death toll is 355 so far. God's wrath or nature's fury ? #Pakistan #earthquake
Pakistan,Pak earthquake death toll is 355 so far. God's wrath or nature's fury ? #Pakistan #earthquake
Balochistan,"RT @UNOCHA #Pakistan earthquake update: over 80% of mud houses in Awaran District, Balochistan reportedly damaged - http://t.co/i3wTpgeL4k"
Awaran District,"RT @UNOCHA #Pakistan earthquake update: over 80% of mud houses in Awaran District, Balochistan reportedly damaged - http://t.co/i3wTpgeL4k"
Pakistan,"RT @UNOCHA #Pakistan earthquake update: over 80% of mud houses in Awaran District, Balochistan reportedly damaged - http://t.co/i3wTpgeL4k"
Pakistan,death toll rises and survivors suffer . #Pakistan #Earthquake  http://t.co/UZGokP1xLt
Pakistan,death toll rises and survivors suffer . #Pakistan #Earthquake  http://t.co/UZGokP1xLt
Pakistan,RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
Pakistan,RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??
Pakistan,"RT @CNNVideo: A deadly #earthquake in #Pakistan was so powerful that it created a new island, according to experts:  http://t.co/B4h76tNqsC"
