text,location,lat,lon,geonameID
"Alexandria woman charged in connection with Kelleyland fire. Chiquita Raquel Henry, 19, of 1935 Orchard St., Alexandria, was arrested and charged with aggravated arson and",Alexandria,31.3113,-92.4451,4314550
"Alexandria woman charged in connection with Kelleyland fire. Chiquita Raquel Henry, 19, of 1935 Orchard St., Alexandria was arrested and charged with aggravated arson and unauthorized entry of an inhabited dwelling. Both the Sheriff’s Office and Rapides Parish Fire District 2",Alexandria,31.3113,-92.4451,4314550
"19, of 1935 Orchard St., Alexandria, was arrested and charged with aggravated arson and unauthorized entry of an inhabited dwelling. Both the Sheriff’s Office and Rapides Parish Fire District 2 investigated the March 7 fire at 6016 Dublin Road that led to Henry’s arrest. According to the Sheriff’s Office, the man",Rapides Parish,31.1669,-92.4835,4338356
Avoyelles task force arrests 14. The Task Force officers began their night at the Cottonport Fire Station and arrested 14 in the Cottonport area through,Avoyelles,31.0669,-91.9668,4315243
"Avoyelles task force arrests 14. The Task Force officers began their night at the Cottonport Fire Station and arrested 14 in the Cottonport area through the night clearing 18 warrants during the four-hour operation. All arrests were without incident,",Cottonport,30.9841,-92.0535,4320874
"Avoyelles task force arrests 14. The Task Force officers began their night at the Cottonport Fire Station and arrested 14 in the Cottonport area through the night clearing 18 warrants during the four-hour operation. All arrests were without incident, the Sheriff’s Office said. They were arrested on",Cottonport,30.9841,-92.0535,4320874
and narcotic violations. Anderson again urged all who have a reason to believe there may be an outstanding warrant for their arrest to contact the Avoyelles Parish Sheriff’s Office immediately in order to resolve any issues. They may contact the Warrant Division at (318) 619-3946 or the Patrol Division at (318),Avoyelles Parish,31.0669,-91.9668,4315243
"Alexandria parents charged with hitting their child during fight between the two of them. rrested were Darryl Keith Warden, 44, of 2517 Memphis St., Alexandria,",Alexandria,31.3113,-92.4451,4314550
"Alexandria parents charged with hitting their child during fight between the two of them. rrested were Darryl Keith Warden, 44, of 2517 Memphis St., Alexandria and Sheila D. Williams, 41, of 420 Augusta St., Alexandria. Both were charged with disturbing the peace by fighting and cruelty to a juvenile.",Alexandria,31.3113,-92.4451,4314550
"Williams, 41, of 420 Augusta St., Alexandria Both were charged with disturbing the peace by fighting and cruelty to a juvenile. Around 7:35 p.m. Sunday Alexandria Police went to Warden’s Memphis Street home where Williams said she’d gone to pick up her daughter. She told officers that when she arrived",Alexandria,31.3113,-92.4451,4314550
"Alexandria parents charged with hitting their child during fight between the two of them. rrested were Darryl Keith Warden, 44, of 2517 Memphis St., Alexandria,",Alexandria,31.3113,-92.4451,4314550
Deputies arrest Pointe Coupee teen on weapon count . Sheriff Beauregard “Bud” Torres said the boy was booked into the St. James Youth Detention Center. Although no gun,Pointe Coupee,30.7344,-91.4332,4337724
"the boy was booked into the St. James Youth Detention Center. Although no gun was found as of Monday evening, Capt. Steve Juge, with the Pointe Coupee Sheriff’s Office said a 16-year-old boy was arrested on a count of illegal carrying of a weapon on a school campus. The student’s name",Pointe Coupee,30.7344,-91.4332,4337724
"Water boil advisory issued in downtown Pineville Service was interrupted Monday night when a valve to a 6-inch water main blew on the corner of Lakeview and Harrison streets, forcing interruption",Pineville,31.3224,-92.4343,4337291
"Controversial pastor picked for Mansfield patrol program. By Vickie Welborn vwelborn@gannett.com Gannett March 24, 2009 MANSFIELD -- Mansfield Mayor Curtis McCoy wants to start a pastor on patrol program",Mansfield,32.0377,-93.7002,4332494
"Controversial pastor picked for Mansfield patrol program. By Vickie Welborn vwelborn@gannett.com Gannett March 24, 2009 MANSFIELD -- Mansfield Mayor Curtis McCoy wants to start a pastor on patrol program for the Mansfield Police Department and he's selected as his first",MANSFIELD,32.0377,-93.7002,4332494
"Controversial pastor picked for Mansfield patrol program. By Vickie Welborn vwelborn@gannett.com Gannett March 24, 2009 MANSFIELD -- Mansfield Mayor Curtis McCoy wants to start a pastor on patrol program for the Mansfield Police Department and he's selected as his first candidate a",Mansfield,32.0377,-93.7002,4332494
"program. By Vickie Welborn vwelborn@gannett.com Gannett March 24, 2009 MANSFIELD -- Mansfield Mayor Curtis McCoy wants to start a pastor on patrol program for the Mansfield Police Department and he's selected as his first candidate a self-described minister with a controversial past that includes time spent on the other side",Mansfield,32.0377,-93.7002,4332494
"to do to make a better relationship between the police and the citizens,"" McCoy said of Jones' appointment. Unlike a similar program run by the Shreveport Police Department where ministers volunteer their time to ride on patrol with officers, Mansfield's Pastor on Patrol won't depend upon volunteers - or at",Shreveport,32.5252,-93.7502,4341513
"said of Jones' appointment. Unlike a similar program run by the Shreveport Police Department where ministers volunteer their time to ride on patrol with officers, Mansfield s Pastor on Patrol won't depend upon volunteers - or at this point anyone beyond Jones. Jones will be paid $9 an hour and",Mansfield,32.0377,-93.7002,4332494
"or at this point anyone beyond Jones. Jones will be paid $9 an hour and work 24 hours a week. Asked why he didn't use Shreveport s program as a model, McCoy answered, ""I don't know what Shreveport does nor do I care to know what Shreveport does on that",Shreveport,32.5252,-93.7502,4341513
"Asked why he didn't use Shreveport's program as a model, McCoy answered, ""I don't know what Shreveport does nor do I care to know what Shreveport does on that line. I only know what Mansfield is doing. ""McCoy would not comment on Jones' checkered past or his ability to remain",Shreveport,32.5252,-93.7502,4341513
"to do to make a better relationship between the police and the citizens,"" McCoy said of Jones' appointment. Unlike a similar program run by the Shreveport Police Department where ministers volunteer their time to ride on patrol with officers, Mansfield's Pastor on Patrol won't depend upon volunteers - or at",Shreveport,32.5252,-93.7502,4341513
"an asset. ""Part-time employees can work six months before being presented to the Board of Aldermen. That's why Jones' official appointment was news to two Mansfield aldermen. Mitch Lewis and G.B. ""Sonny"" Hall were unaware of Jones' addition to the payroll. Lewis admitted that he was questioned over the weekend",Mansfield,32.0377,-93.7002,4332494
"employee issues and public criticism of the road department supervisor, including filing complaints with the state attorney general's office that were later deemed unfounded. The Mansfield resident got his own hand slapped in 2005 when the district attorney ordered him to reimburse the parish $175 for gravel he directed onto",Mansfield,32.0377,-93.7002,4332494
"Controversial pastor picked for Mansfield patrol program. By Vickie Welborn vwelborn@gannett.com Gannett March 24, 2009 MANSFIELD -- Mansfield Mayor Curtis McCoy wants to start a pastor on patrol program",Mansfield,32.0377,-93.7002,4332494
"use. The Thursday announcement brought the first public acknowledgment that Democrats would increase taxes to help balance the budget. Senate Tax Chairman Tom Bakk, DFL- Cook said a ""lion's share"" of the $2 billion in new revenue would come from higher taxes on the rich, apparently via the income tax.",Cook,47.8524,-92.6896,5021974
